API,number,className
zero([I)V,2,Lcom/linecorp/armeria/internal/shaded/bouncycastle/math/raw/Nat256
invoke(Lorg/activiti/engine/impl/javax/el/ELContext;Ljava/lang/Object;Ljava/lang/Object;[Ljava/lang/Class;[Ljava/lang/Object;)Ljava/lang/Object;,1,Lorg/activiti/engine/impl/javax/el/ELResolver
setTransactionBroadcaster(Lorg/bitcoinj/core/TransactionBroadcaster;)V,1,Lorg/bitcoinj/protocols/channels/StoredPaymentChannelClientStates
addCoinsReceivedEventListener(Ljava/util/concurrent/Executor;Lorg/bitcoinj/wallet/listeners/WalletCoinsReceivedEventListener;)V,1,Lorg/bitcoinj/wallet/Wallet
incrementAndGet()I,2,Ljava/util/concurrent/atomic/AtomicInteger
keySet()Ljava/util/Set;,1,Ljava/util/Collections$SynchronizedMap
onDelete(Lorg/activiti/engine/delegate/event/ActivitiEvent;)V,2,Lorg/activiti/engine/delegate/event/BaseEntityEventListener
getChild(I)Lorg/activiti/engine/impl/juel/AstNode;,2,Lorg/activiti/engine/impl/juel/AstParameters
getValueReference(Lorg/activiti/engine/impl/juel/Bindings;Lorg/activiti/engine/impl/javax/el/ELContext;)Lorg/activiti/engine/impl/javax/el/ValueReference;,1,Lorg/activiti/engine/impl/juel/AstText
getLastName()Ljava/lang/String;,1,Lorg/activiti/engine/impl/persistence/entity/UserEntity
setSubProcessInstance(Lorg/activiti/engine/impl/pvm/runtime/InterpretableExecution;)V,3,Lorg/activiti/engine/impl/pvm/runtime/ExecutionImpl
requireNonNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;,1,Ljava/util/Objects
getVariableInstances(Ljava/lang/String;Ljava/lang/String;Z)Ljava/util/Map;,1,Lorg/activiti/engine/impl/RuntimeServiceImpl
signal(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/RuntimeServiceImpl
getFullNameLike()Ljava/lang/String;,1,Lorg/activiti/engine/impl/UserQueryImpl
remove()V,18,Ljava/lang/ThreadLocal
getMaxResults()I,3,Lorg/activiti/engine/impl/Page
<clinit>()V,3,Ljava/net/InetSocketAddress
getTaskVariablesLimit()Ljava/lang/Integer;,1,Lorg/activiti/engine/impl/HistoricTaskInstanceQueryImpl
equals(Ljava/lang/Object;)Z,1,Lorg/activiti/engine/impl/db/ActivitiVersion
hasNext()Z,2,Ljava/util/SubList$1
setActivityName(Ljava/lang/String;)V,16,Lorg/activiti/engine/delegate/event/impl/ActivitiActivityEventImpl
getRejectedMessage()Ljava/lang/String;,3,Lorg/bitcoinj/core/RejectMessage
<init>(Lorg/bitcoinj/core/NetworkParameters;[BIILorg/bitcoinj/core/Message;Lorg/bitcoinj/core/MessageSerializer;I)V,1,Lorg/bitcoinj/core/ChildMessage
getCardinality()I,1,Lorg/activiti/engine/impl/juel/AstParameters
getVariableInstances(Ljava/lang/String;)Ljava/util/Map;,1,Lorg/activiti/engine/impl/RuntimeServiceImpl
onConfidenceChanged(Lorg/bitcoinj/core/TransactionConfidence;Lorg/bitcoinj/core/TransactionConfidence$Listener$ChangeReason;)V,1,Lorg/bitcoinj/jni/NativeTransactionConfidenceListener
setCacheScriptingEngines(Z)V,1,Lorg/activiti/engine/impl/scripting/ScriptingEngines
toSocketAddress()Ljava/net/InetSocketAddress;,4,Lorg/bitcoinj/core/PeerAddress
<init>(Ljava/lang/String;I)V,2,Ljava/math/BigInteger
getInitial()Lorg/activiti/engine/impl/pvm/process/ActivityImpl;,2,Lorg/activiti/engine/impl/pvm/runtime/StartingExecution
setId(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/persistence/entity/AttachmentEntity
isDeleteRoot()Z,1,Lorg/activiti/engine/impl/persistence/entity/ExecutionEntity
getVariableType()Lorg/activiti/engine/impl/variable/VariableType;,1,Lorg/activiti/engine/impl/persistence/entity/HistoricDetailVariableInstanceUpdateEntity
getActivityName()Ljava/lang/String;,1,Lorg/activiti/engine/impl/persistence/entity/HistoricActivityInstanceEntity
getVariables()Ljava/util/Map;,1,Lorg/activiti/engine/impl/el/NoExecutionVariableScope
parseInt(Ljava/lang/String;)I,84,Ljava/lang/Integer
getEventType()Ljava/lang/String;,1,Lorg/activiti/engine/impl/EventSubscriptionQueryValue
isTransactionActive()Z,4,Lorg/activiti/engine/impl/variable/EntityManagerSessionImpl
lock()V,6,Ljava/util/concurrent/locks/ReentrantReadWriteLock$ReadLock
setDefaultNamespace(Ljava/lang/String;)V,1,Lorg/activiti/bpmn/converter/DelegatingXMLStreamWriter
matches(Ljava/lang/String;)Z,9,Ljava/lang/String
getGroupId()Ljava/lang/String;,1,Lorg/activiti/engine/impl/persistence/entity/MembershipEntity
clear()V,10,Ljava/util/Collections$SynchronizedCollection
isEmpty()Z,35,Ljava/util/TreeSet
setId(J)V,1,Lorg/bitcoinj/core/AlertMessage
